source_page,pais,localidad,departamento,provincia,argentina,bella vista,bella vista_2,corrientes,calle,numero,latitud,longitud,radio de cobertura (km),cordoba y 25 de mayo,s/n,-28.512372,-59.044944,1.638,col_1,-28.520477,-59.048652,1.794,sarmiento e/av j.romero y aviad.argüello,-27.510301,-58.556233,7.02,azimuth,angulo de apertura,60,70,130,67
5,,,,,,,,,Ruta Nacional 12,Km 940,-28.246114,-58.703985,6.084,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Cordoba y 25 de Mayo,S/N,-28.512372,-59.044944,1.404,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Tacuari,500,-28.838936,-58.821370,16.559,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Tacuari,500,-28.838936,-58.821370,14.602,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Esq. Placido Martinez y Entre Rios,S/N,-29.708224,-57.101564,2.028,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Esq. Placido Martinez y Entre Rios,S/N,-29.708224,-57.101564,1.872,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Esq. Placido Martinez y Entre Rios,S/N,-29.708224,-57.101564,4.914,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Coronel Reguera,800,-29.714853,-57.090076,1.17,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Mendoza,742,-29.710580,-57.080473,4.914,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Mendoza,742,-29.710580,-57.080473,0.936,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Mendoza,742,-29.710580,-57.080473,1.248,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Moreno esquina Córdoba,S/N,-30.086138,-58.791895,2.652,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Moreno esquina Córdoba,S/N,-30.086138,-58.791895,1.638,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Tacuari,500,-28.838936,-58.821370,20,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Tacuari,500,-28.838936,-58.821370,35.2,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Tacuari,500,-28.838936,-58.821370,35.2,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,s/n,-28.520477,-59.048652,3,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,s/n,-28.520477,-59.048652,1.482,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,Cordoba y 25 de Mayo,S/N,-28.512372,-59.044944,7.02,,,,,,,,,,,,,,
